cod_bem,item,tipo_ativo,patrimonio,descricao,grupo,quantidade,data_aquisicao,num_serie,marca,status,valor_aquisicao,fonte_valor,vl_aquisicao_original,val_orig_m1,val_orig_m2,val_orig_m3,val_orig_m4,val_orig_m5,ativo_proprio
A00000731,0001,1.0,END5352,VIDEO COLONOSCOPIO,A001,1,2025-12-19,H116155,,Em Uso,1.0,Vl Aquisicao,1.0,1.0,1.0,1.2067,0,0,Sim
A00006279,0001,1.0,AN4006,"ANESTESIA AX-500 COMEN 10,4 POL 15ML",A001,1,2024-09-20,X5230814006C,COMEN,Em Uso,1.0,Vl Aquisicao,1.0,1.0,1.0,1.2067,0,0,Sim
A000000457,0001,1.0,END0145,PROCESSADORA DE IMAGEM SISTEMA DE VIDEOENDOSCOPIA,A001,1,2020-04-04,MD110191,AOHUA,Em Uso,38000.0,Maior entre Val Orig M1-M5,0.0,38000.0,0.0,0.0,0,0,Sim
A000000458,0002,1.0,OXT0748,BILEVEL ST SERIE 7,A001,1,2020-12-10,CP704105002,HYPNUS,Em Uso,2870.0,Maior entre Val Orig M1-M5,0.0,2870.0,0.0,0.0,0,0,Sim
A000000459,0001,1.0,VP0690,VENTILADOR PULMONAR,A001,1,2020-12-15,N10360916874,NEWPORT,Em Uso,500.0,Maior entre Val Orig M1-M5,0.0,500.0,0.0,0.0,0,0,Sim
A000000460,0001,1.0,VP0747,VENTILADOR PULMONAR,A001,1,2020-12-16,0712VN068,NEWPORT,Em Uso,500.0,Maior entre Val Orig M1-M5,0.0,500.0,0.0,0.0,0,0,Sim
A000000461,0001,1.0,OXT9992,BILEVEL ST SERIE 7,A001,1,2020-12-18,CP704105003,HYPNUS,Em Uso,2870.0,Maior entre Val Orig M1-M5,0.0,2870.0,0.0,0.0,0,0,Sim
A000000462,0002,1.0,OXT0613,BILEVEL ST SERIE 7,A001,1,2020-12-18,CP704105004,HYPNUS,Em Uso,2870.0,Maior entre Val Orig M1-M5,0.0,2870.0,0.0,0.0,0,0,Sim
A000000463,0003,1.0,OXT0699,BILEVEL ST SERIE 7,A001,1,2020-12-18,CP704105005,HYPNUS,Em Uso,2870.0,Maior entre Val Orig M1-M5,0.0,2870.0,0.0,0.0,0,0,Sim
A000000464,0004,1.0,OXT0615,BILEVEL ST SERIE 7,A001,1,2020-12-18,CP704105006,HYPNUS,Em Uso,2870.0,Maior entre Val Orig M1-M5,0.0,2870.0,0.0,0.0,0,0,Sim
A000000465,0005,1.0,OXT06999,BILEVEL ST SERIE 7,A001,1,2020-12-18,CP704105007,HYPNUS,Em Uso,2870.0,Maior entre Val Orig M1-M5,0.0,2870.0,0.0,0.0,0,0,Sim
A000000466,0006,1.0,OXT0618,BILEVEL ST SERIE 7,A001,1,2020-12-18,CP704105010,HYPNUS,Em Uso,2870.0,Maior entre Val Orig M1-M5,0.0,2870.0,0.0,0.0,0,0,Sim
A000000467,0001,1.0,AQA0001,"PRISMAAQUA, TIPO WM 100 TH",A001,1,2020-12-21,10143443,LOWENSTEIN MEDICAL,Em Uso,712.0,Maior entre Val Orig M1-M5,0.0,712.0,0.0,0.0,0,0,Sim
A000000468,0002,1.0,AQA0007,"PRISMAAQUA, TIPO WM 100 TH",A001,1,2020-12-21,10143447,LOWENSTEIN MEDICAL,Em Uso,712.0,Maior entre Val Orig M1-M5,0.0,712.0,0.0,0.0,0,0,Sim
A000000469,0003,1.0,AQA0002,"PRISMAAQUA, TIPO WM 100 TH",A001,1,2020-12-21,10143454,LOWENSTEIN MEDICAL,Em Uso,712.0,Maior entre Val Orig M1-M5,0.0,712.0,0.0,0.0,0,0,Sim
A000000470,0004,1.0,AQA0003,"PRISMAAQUA, TIPO WM 100 TH",A001,1,2020-12-21,10143455,LOWENSTEIN MEDICAL,Em Uso,712.0,Maior entre Val Orig M1-M5,0.0,712.0,0.0,0.0,0,0,Sim
A000000471,0005,1.0,OXT00001,PRISMA VENT30-C COM BATERIA WM 110 TD,A001,1,2020-12-21,32023343,LOWENSTEIN MEDICAL,Em Uso,7285.24,Maior entre Val Orig M1-M5,0.0,7285.24,0.0,0.0,0,0,Sim
A000000475,0001,1.0,OXT0464,PRISMA VENT30 COM BATERIA WM 110 TD,A001,1,2020-12-21,32028010,LOWENSTEIN MEDICAL,Em Uso,6316.31,Maior entre Val Orig M1-M5,0.0,6316.31,0.0,0.0,0,0,Sim
A000000476,0002,1.0,OXT0465,PRISMA VENT30 COM BATERIA WM 110 TD,A001,1,2020-12-21,32028019,LOWENSTEIN MEDICAL,Em Uso,6316.31,Maior entre Val Orig M1-M5,0.0,6316.31,0.0,0.0,0,0,Sim
A000000477,0003,1.0,OXT00158,PRISMA VENT30 COM BATERIA WM 110 TD,A001,1,2020-12-21,32028062,LOWENSTEIN MEDICAL,Em Uso,6316.31,Maior entre Val Orig M1-M5,0.0,6316.31,0.0,0.0,0,0,Sim
A000000478,0004,1.0,OXT0472,PRISMA VENT30 COM BATERIA WM 110 TD,A001,1,2020-12-21,32028080,LOWENSTEIN MEDICAL,Em Uso,6316.31,Maior entre Val Orig M1-M5,0.0,6316.31,0.0,0.0,0,0,Sim
A000000479,0008,1.0,OXT00302,PRISMA VENT30-C COM BATERIA WM 110 TD,A001,1,2020-12-21,32028102,LOWENSTEIN MEDICAL,Em Uso,7285.24,Maior entre Val Orig M1-M5,0.0,7285.24,0.0,0.0,0,0,Sim
A000000480,0009,1.0,OXT00102,PRISMA VENT30-C COM BATERIA WM 110 TD,A001,1,2020-12-21,32028129,LOWENSTEIN MEDICAL,Em Uso,7285.24,Maior entre Val Orig M1-M5,0.0,7285.24,0.0,0.0,0,0,Sim
A000000481,0010,1.0,OXT0730,PRISMA VENT30-C COM BATERIA WM 110 TD,A001,1,2020-12-21,32028132,LOWENSTEIN MEDICAL,Em Uso,7624.33,Maior entre Val Orig M1-M5,0.0,7624.33,0.0,0.0,0,0,Sim
A000000482,0013,1.0,OXT0510,"PRISMA VENT40 WITH BATTERY, VENTILATION DEVICE TYP",A001,1,2020-12-21,32028137,LOWENSTEIN MEDICAL,Em Uso,8895.34,Maior entre Val Orig M1-M5,0.0,8895.34,0.0,0.0,0,0,Sim
A000000483,0014,1.0,OXT00107,"PRISMA VENT40 WITH BATTERY, VENTILATION DEVICE TYP",A001,1,2020-12-21,32028142,LOWENSTEIN MEDICAL,Em Uso,8931.44,Maior entre Val Orig M1-M5,0.0,8931.44,0.0,0.0,0,0,Sim
A000000484,0016,1.0,OXT00369,PRISMA VENT50 COM BATERIA WM120,A001,1,2020-12-21,34005259,LOWENSTEIN MEDICAL,Em Uso,8815.77,Maior entre Val Orig M1-M5,0.0,8815.77,0.0,0.0,0,0,Sim
A000000485,0017,1.0,OXT00372,PRISMA VENT50 COM BATERIA WM120,A001,1,2020-12-21,34005272,LOWENSTEIN MEDICAL,Em Uso,11545.77,Maior entre Val Orig M1-M5,0.0,11545.77,0.0,0.0,0,0,Sim
